site,name,year,month,day,tmin,tmax,date,working,demand,area_string
DA,Dock Area,2015,01,01,11,28.3,2015-01-01,Weekday,14.89844922,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,01,11,28.3,2015-01-01,Weekday,11.41105664,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,01,11,28.3,2015-01-01,Weekday,6.3079355470000005,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,02,13.5,40.6,2015-01-02,Weekday,18.34256055,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,02,13.5,40.6,2015-01-02,Weekday,21.06027539,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,02,13.5,40.6,2015-01-02,Weekday,11.0886875,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,03,19.1,39.5,2015-01-03,Weekend,18.22310352,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,03,19.1,39.5,2015-01-03,Weekend,24.0940918,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,03,19.1,39.5,2015-01-03,Weekend,9.921589844,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,04,15.2,25.1,2015-01-04,Weekend,16.63855078,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,04,15.2,25.1,2015-01-04,Weekend,12.91766895,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,04,15.2,25.1,2015-01-04,Weekend,6.952617188,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,05,13.1,25.7,2015-01-05,Weekday,15.18962988,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,05,13.1,25.7,2015-01-05,Weekday,12.93377441,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,05,13.1,25.7,2015-01-05,Weekday,11.60827441,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,06,16.3,30.3,2015-01-06,Weekday,16.68656836,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,06,16.3,30.3,2015-01-06,Weekday,16.04956934,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,06,16.3,30.3,2015-01-06,Weekday,12.40810938,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,07,18.2,38.5,2015-01-07,Weekday,20.77753906,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,07,18.2,38.5,2015-01-07,Weekday,23.5166543,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,07,18.2,38.5,2015-01-07,Weekday,15.88583691,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,08,21.6,29.2,2015-01-08,Weekday,18.75619727,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,08,21.6,29.2,2015-01-08,Weekday,16.66029492,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,08,21.6,29.2,2015-01-08,Weekday,14.06448535,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,09,16.7,17.7,2015-01-09,Weekday,16.51756055,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,09,16.7,17.7,2015-01-09,Weekday,13.26382324,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,09,16.7,17.7,2015-01-09,Weekday,10.98169629,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,10,13,21.8,2015-01-10,Weekend,16.48003906,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,10,13,21.8,2015-01-10,Weekend,12.29977344,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,10,13,21.8,2015-01-10,Weekend,7.485757812999999,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,11,14.6,28.3,2015-01-11,Weekend,16.30710547,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,11,14.6,28.3,2015-01-11,Weekend,14.07113965,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,11,14.6,28.3,2015-01-11,Weekend,7.714520996,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,12,15,32.6,2015-01-12,Weekday,17.94866406,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,12,15,32.6,2015-01-12,Weekday,19.46170508,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,12,15,32.6,2015-01-12,Weekday,13.25638672,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,13,19.7,25.5,2015-01-13,Weekday,17.48341797,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,13,19.7,25.5,2015-01-13,Weekday,14.919799800000002,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,13,19.7,25.5,2015-01-13,Weekday,12.32668262,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,14,17.5,22.4,2015-01-14,Weekday,16.81725781,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,14,17.5,22.4,2015-01-14,Weekday,13.35756641,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,14,17.5,22.4,2015-01-14,Weekday,12.10133691,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,15,15.2,22.2,2015-01-15,Weekday,16.32724414,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,15,15.2,22.2,2015-01-15,Weekday,13.41329004,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,15,15.2,22.2,2015-01-15,Weekday,11.2420498,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,16,9.8,28.6,2015-01-16,Weekday,17.81044336,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,16,9.8,28.6,2015-01-16,Weekday,13.22525586,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,16,9.8,28.6,2015-01-16,Weekday,11.96450977,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,17,14.2,26.1,2015-01-17,Weekend,16.19812988,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,17,14.2,26.1,2015-01-17,Weekend,12.3773418,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,17,14.2,26.1,2015-01-17,Weekend,7.719334961,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,18,13.8,21.2,2015-01-18,Weekend,15.90602148,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,18,13.8,21.2,2015-01-18,Weekend,12.69419922,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,18,13.8,21.2,2015-01-18,Weekend,7.143056641,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,19,11.3,25,2015-01-19,Weekday,17.40947461,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,19,11.3,25,2015-01-19,Weekday,13.37145703,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,19,11.3,25,2015-01-19,Weekday,11.50739063,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,20,10.9,30.9,2015-01-20,Weekday,19.01643945,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,20,10.9,30.9,2015-01-20,Weekday,15.79709082,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,20,10.9,30.9,2015-01-20,Weekday,13.08234473,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,01,21,19.2,34.2,2015-01-21,Weekday,20.58727148,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,01,21,19.2,34.2,2015-01-21,Weekday,21.94531836,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,01,21,19.2,34.2,2015-01-21,Weekday,14.57088379,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
